SSN,AGE,GENDER,RACE,ETHNICITY,BMI,SYSTOLIC_BP,DIASTOLIC_BP,GLUCOSE,ICD_PRIMARY,ICD_SECONDARY,ENCOUNTER_TYPE,LOS_DAYS,TOTAL_CLAIM_COST,PAYER_TYPE,CITY,POSTAL_PREFIX
184-48-9572,60,M,White,Non-Hispanic,34.6,150,84,114.0,J44.1,,inpatient,0.4,123.88,OHIP,Newmarket,L3G
506-94-7462,49,M,White,Non-Hispanic,23.8,118,77,104.4,F41.1,,outpatient,2.2,618.99,Private,Barrie,L5G
292-50-3648,63,F,White,Non-Hispanic,29.9,131,82,112.5,K92.1,Z87.891,outpatient,1.7,405.11,OHIP,Keswick,L3G
706-53-4429,79,F,White,Non-Hispanic,19.8,149,91,82.3,J44.1,Z82.49,inpatient,0.8,1374.95,OHIP,Innisfil,L4G
656-78-3932,47,M,Chinese,Non-Hispanic,28.5,103,84,89.2,F41.1,Z82.49,inpatient,1.4,185.44,OHIP,Georgina,L5G
662-74-9119,47,F,South Asian,Hispanic,28.2,129,80,108.5,M54.5,Z96.651,outpatient,0.6,1107.19,OHIP,Barrie,L4G
321-91-5983,80,M,White,Non-Hispanic,30.8,131,90,105.7,K21.0,Z79.4,outpatient,4.0,1875.7,OHIP,King,L5G
573-49-3702,65,F,White,Non-Hispanic,37.7,138,84,191.5,E11.9,Z82.49,outpatient,0.8,519.65,Private,East Gwillimbury,L6G
118-19-1783,43,F,Arab,Non-Hispanic,25.5,124,90,207.9,J06.9,Z82.49,outpatient,0.6,1180.72,OHIP,Georgina,L4G
782-40-9555,61,F,White,Non-Hispanic,25.7,131,69,88.5,E11.9,Z79.4,inpatient,2.8,205.56,OHIP,Bradford,L5G
627-89-5891,43,F,White,Non-Hispanic,28.6,123,78,216.5,I10,Z87.891,preventive,0.0,420.23,Workplace,Innisfil,L5G
289-29-9634,43,F,South Asian,Non-Hispanic,23.7,116,76,171.7,J06.9,,outpatient,0.6,132.89,Workplace,Bradford,L4G
364-19-5561,56,M,White,Non-Hispanic,25.3,155,86,78.0,I50.9,Z96.651,outpatient,0.9,11009.65,OHIP,Innisfil,L3G
